time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002827,0.1581,0.0567,-0.2660,0.315
0.003417,0.1549,0.0362,-0.2647,0.309
0.003962,0.1111,0.0545,-0.2968,0.322
0.006933,0.0841,0.0354,-0.2813,0.296
0.012659,0.0619,0.0268,-0.2472,0.256
0.020744,0.0563,0.0426,-0.1756,0.189
0.021868,0.0528,0.0326,-0.0668,0.091
0.027820,0.0349,0.0444,-0.0159,0.059
0.031054,-0.0045,0.0777,0.0392,0.087
0.035523,-0.0390,0.1014,0.0084,0.109
0.040584,-0.0661,0.0873,-0.0175,0.111
0.045349,-0.0786,0.0429,-0.0243,0.093
0.050005,-0.0695,0.0084,-0.0405,0.081
0.055485,-0.0555,0.0054,-0.0733,0.092
0.060189,-0.0105,-0.0236,-0.1011,0.104
0.065008,-0.0108,-0.0214,-0.1571,0.159
0.069690,0.0460,-0.0191,-0.1890,0.195
0.073814,0.0314,-0.0451,-0.2158,0.223
0.078816,0.0240,-0.0518,-0.2069,0.215
0.083230,0.0475,-0.0631,-0.2005,0.215
0.088135,0.0376,-0.0435,-0.1680,0.178
0.093369,0.0374,-0.0571,-0.1263,0.144
0.098097,0.0426,-0.0515,-0.1016,0.122
0.102868,0.0149,-0.0198,-0.0747,0.079
0.108315,-0.0241,-0.0071,-0.0623,0.067
0.112451,-0.0414,0.0033,-0.0595,0.073
0.116588,-0.0752,0.0045,-0.0616,0.097
0.121397,-0.1045,0.0131,-0.0472,0.115
0.129027,-0.1030,0.0385,-0.0425,0.118
0.131320,-0.0781,0.0165,-0.0687,0.105
0.137753,-0.0845,0.0115,-0.0782,0.116
0.142015,-0.0505,0.0116,-0.0616,0.080
0.145362,-0.0595,-0.0049,-0.0309,0.067
0.150131,-0.0472,0.0073,-0.0029,0.048
0.154224,-0.0423,0.0004,0.0321,0.053
0.159034,-0.0613,-0.0066,0.0833,0.104
0.163881,-0.0445,-0.0041,0.1129,0.121
0.168838,-0.0184,0.0147,0.1280,0.130
0.173902,-0.0280,0.0024,0.1121,0.116
